Mes/Año,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
  Enero,,4.04%,3.52%,2.90%,3.08%,3.33%,3.88%,3.57%,3.85%,3.90%,3.03%,2.64%,2.78%,2.94%,2.94%,2.95%,2.91%,2.96%,3.16%,3.21%,2.61%
  Febrero,,4.20%,3.49%,2.92%,3.11%,3.34%,3.70%,3.54%,3.84%,3.92%,2.93%,2.62%,2.80%,2.95%,2.90%,2.95%,2.95%,2.94%,3.15%,3.21%,2.60%
  Marzo,,4.18%,3.29%,2.89%,3.14%,3.43%,3.70%,3.52%,3.91%,3.81%,2.90%,2.61%,2.79%,2.92%,2.92%,2.93%,2.97%,3.03%,3.12%,3.14%,2.61%
  Abril,,4.07%,3.25%,2.95%,3.16%,3.47%,3.72%,3.52%,3.94%,3.69%,2.85%,2.63%,2.79%,2.88%,2.93%,2.92%,2.97%,3.05%,3.14%,3.09%,
  Mayo,4.08%,4.05%,3.17%,2.96%,3.21%,3.48%,3.80%,3.54%,3.98%,3.58%,2.81%,2.67%,2.89%,2.88%,3.00%,2.88%,2.95%,3.01%,3.17%,3.07%,
  Junio,4.72%,3.89%,3.12%,2.98%,3.27%,3.88%,3.84%,3.57%,3.98%,3.48%,2.74%,2.66%,2.89%,2.87%,2.99%,2.84%,2.97%,3.07%,3.19%,3.05%,
  Julio,4.56%,3.83%,3.13%,2.96%,3.35%,3.86%,3.92%,3.68%,3.97%,3.38%,2.71%,2.68%,2.90%,2.89%,2.97%,2.87%,2.95%,3.08%,3.19%,2.99%,
  Agosto,4.31%,3.78%,3.07%,3.04%,3.35%,3.94%,4.03%,3.67%,3.98%,3.31%,2.69%,2.69%,2.89%,2.90%,2.99%,2.84%,2.95%,3.07%,3.19%,2.80%,
  Septiembre,3.90%,3.75%,3.01%,3.05%,3.38%,3.95%,4.03%,3.73%,4.00%,3.23%,2.66%,2.72%,2.92%,2.91%,3.01%,2.85%,2.96%,3.13%,3.16%,2.80%,
  Octubre,4.01%,3.68%,2.97%,3.06%,3.33%,3.95%,3.92%,3.78%,3.97%,3.18%,2.63%,2.73%,2.92%,2.88%,2.98%,2.85%,2.95%,3.14%,3.16%,2.81%,
  Noviembre,4.01%,3.62%,2.96%,3.06%,3.41%,3.97%,3.67%,3.77%,3.90%,3.11%,2.65%,2.76%,2.93%,2.91%,2.98%,2.86%,2.95%,3.15%,3.21%,2.80%,
  Diciembre,3.98%,3.57%,2.95%,3.11%,3.41%,3.81%,3.63%,3.82%,3.88%,3.08%,2.67%,2.77%,2.94%,2.93%,2.98%,2.88%,2.96%,3.14%,3.20%,2.66%,
